UF,Municipio,Profissao,Quantidade,PctFeminino,MediaIdade,MediaRendTotal,MediaRendTrib,MediaPatrimonio
ES,ALEGRE,"Pedagogo, orientador educacional",24,0.875,48.083333333333336,119151.47875,103059.83916666667,99073.53749999999
ES,ALEGRE,Policial Militar,159,0.12578616352201258,40.069182389937104,141239.4320754717,114221.25283018869,79794.57899371069
ES,ALEGRE,Produtor na exploração agropecuária,69,0.14492753623188406,57.768115942028984,163907.20695652175,55623.624057971014,756227.0011594202
ES,ALEGRE,Professor do ensino fundamental,256,0.87109375,47.375,86903.02332031252,68662.5375390625,74005.07871093751
ES,ALEGRE,Professor do ensino médio,137,0.6204379562043796,42.605839416058394,124843.461459854,100926.10802919709,143236.87029197082
ES,ALEGRE,Professor do ensino profissional,38,0.39473684210526316,49.23684210526316,309597.60289473674,234278.10999999996,802654.7981578946
ES,ALEGRE,Professor do ensino superior,187,0.48663101604278075,47.53475935828877,315611.3706417113,233828.60508021398,533196.2095187168
ES,ALEGRE,Professor na educação infantil,117,0.9829059829059829,49,73871.93367521366,65043.01931623931,37775.2035897436
ES,ALEGRE,Profissional da educação física (exceto professor),11,0.36363636363636365,37.27272727272727,45155.98999999999,36397.50272727273,93410.86272727273
ES,ALEGRE,Psicólogo,25,0.96,41.48,90665.7,63622.694800000005,163809.4488
ES,ALEGRE,Sacerdote ou membro de ordens ou seitas religiosas,12,0,53.416666666666664,85880.65916666666,75535.76916666668,95149.90666666666
ES,ALEGRE,"Servidor das carreiras do  Poder Judiciário, Oficial de Justiça, Auxiliar, Assistente e Analista Judiciário",14,0.42857142857142855,52.857142857142854,339007.2607142857,247458.5307142857,704121.9092857143
ES,ALEGRE,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional",174,0.3735632183908046,51.82183908045977,119022.25097701148,88514.3898275862,170111.26816091954
ES,ALEGRE,Técnico da ciência da saúde humana,59,0.8983050847457628,41.33898305084746,65881.6006779661,57054.977966101695,35893.7793220339
ES,ALEGRE,Técnico da produção agropecuária,14,0.21428571428571427,36.785714285714285,104483.61142857143,73036.30285714284,48301.41642857143
ES,ALEGRE,Técnico das ciências administrativas e contábeis,13,0.38461538461538464,49.84615384615385,107926.11538461536,77697.54000000001,153967.44846153844
ES,ALEGRE,"Técnico de laboratório, Raios-X e outros equipamentos e instrumentos de diagnóstico",11,0.6363636363636364,42.81818181818182,103821.48090909091,87521.63272727272,62361.883636363644
ES,ALEGRE,Técnico em informática,10,0.1,36.8,69234.383,50103.167,94368.80500000002
ES,ALEGRE,Trabalhador da indústria extrativa e da construção civil,47,0,44.51063829787234,81225.44510638298,67843.21085106384,48239.07276595745
ES,ALEGRE,"Trabalhador de atendimento ao público, caixa, despachante, recenseador e afins",25,0.52,46.48,86195.94959999999,56360.5664,154457.9768
ES,ALEGRE,Trabalhador de reparação e manutenção,34,0.029411764705882353,44.529411764705884,59240.81088235294,51056.88411764705,27704.696470588242
ES,ALEGRE,Trabalhador dos serviços de proteção e segurança (exceto militar),47,0.19148936170212766,42.93617021276596,89532.90212765956,71820.95851063832,39820.02063829788
ES,ALEGRE,Trabalhador dos serviços de saúde,83,0.8313253012048193,46.30120481927711,53133.25012048193,47280.25313253011,18688.431204819277
ES,ALEGRE,Trabalhador na  exploração agropecuária,40,0.125,57.925,233330.35150000002,63949.472250000006,983375.0787500001
ES,ALEGRE,"Vendedor e prestador de serviços do comércio, ambulante, caixeiro-viajante e camelô",60,0.35,42.85,81355.00616666667,48602.335333333336,127841.40066666667
ES,ALEGRE,"Veterinário, patologista (veterinário) e zootecnista",29,0.5517241379310345,36.724137931034484,171820.35379310348,114193.30655172415,395647.05000000005
ES,ALFREDO CHAVES,,293,0.6245733788395904,66.4778156996587,112007.30883959045,59090.32634812287,293496.6066211605
ES,ALFREDO CHAVES,Advogado,17,0.35294117647058826,43.88235294117647,91762.97882352943,43288.78705882353,344282.15647058823
ES,ALFREDO CHAVES,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo",64,0.59375,41.296875,96541.34593750002,72466.73250000001,120623.01296875
ES,ALFREDO CHAVES,"Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias",18,0.3333333333333333,44.05555555555556,60047.592222222214,53122.24333333333,40754.20722222222
ES,ALFREDO CHAVES,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços",98,0.22448979591836735,48.04081632653061,531997.1428571428,59320.88765306122,1284260.2588775512
ES,ALFREDO CHAVES,"Economista, administrador, contador, auditor e afins",11,0.45454545454545453,43.63636363636363,161348.8927272727,69367.11727272726,460918.3400000001
ES,ALFREDO CHAVES,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins",44,0.8636363636363636,36.54545454545455,76112.52590909091,64851.02250000001,54056.28863636364
ES,ALFREDO CHAVES,"Engenheiro, arquiteto e afins",24,0.041666666666666664,38.916666666666664,181248.92958333335,99629.62791666666,247876.11041666675
ES,ALFREDO CHAVES,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços",25,0.36,47.6,68105.1296,50804.992,347881.42400000006
